Nama Usaha,Nama Pemilik,Komoditi,Alamat,Kecamatan,Desa,Sektor Usaha,KTP,Email,Tahun Mulai,No Telp,NPWP,Jumlah Karyawan,Aset,Omzet,Sertifikat,Wilayah
Jual Beli Pisang,Jajang Nurjaman,Jamur Tiram,Kp Cigugur,Parongpong,cigugur,4,3217020710090059,Jaj@gmail.com,2017,,ada,5,30000000,390000000,1,pasar
Jual Beli Pisang,Mara,Alat Pupuk Dan Obat-obatan Pertanian,Kp Cigugur,Parongpong,cigugur,4,3217020710090060,Mar@gmail.com,2016,08132209343,tidak,3,35000000,227000000,1,pasar
SM,Isum Sumarna,Bunga Hias,Komp.Bumi Hanjuang No.F5,Parongpong,cihanjuang,4,3217020710090061,isum@gmail.com,2017,081809927406,ada,4,20000000,254000000,1,pasar
Pengepul Sayuran,Jaenan Mutakin,Sayuran ,Komp. The Green Sariwangi Tahap 2 No.3 RT 02 RW 11,Parongpong,sariwangi,4,3217020710090062,Jae@gmail.com,2016,,tidak,5,35000000,109000000,1,pasar
Bandar Sayuran,Eros,Bunga,Bumi Sariwangi I l 29,Parongpong,sariwangi,4,3217020710090063,Ero@gmail.com,2016,022-6900578,ada,6,35000000,109000000,1,pasar
Asari Sayur,Ahmad Kusairi,Sayur,Kp. Sukamaju RT 01/05,Parongpong,Cihanjuang,4,3202080710090064,Ahm@gmail.com,2014,,ada,3,29000000,182000000,1,pasar
Entin Sayur,Entin Rosnawati,Sayuran,Kp. Sukamaju RT 01/05,Parongpong,Cigugurgirang,4,3217020710090065,Ent@gmail.com,2015,0817214009,ada,4,35000000,91000000,1,pasar
Suherman Farm,Suherman,Bunga,Kp. Sukamaju RT 01/05,Parongpong,Cigugur Girang,4,3217020710090066,Suh@gmail.com,2015,085295344932,ada,5,21000000,182000000,1,pasar
Harry's,Harry Supriyanto,Bunga,Kp. Sukamaju RT 01/05,Parongpong,Sariwangi,4,3217020710090067,harry@gmail.com,2016,085220395191,ada,6,30000000,364000000,1,pasar
Pertanian Barokah,Ade Suhendar,Sayuran,Kp. Tutugan Rt/Rw 02/04,Parongpong,Ciwaruga,4,3217020710090068,Ade@gmail.com,2016,081573428314,tidak,6,22000000,120000000,1,pasar
Family Pres,Deni Sopyan,Sayuran,Jl.Ciwaruga Rt03/02,Parongpong,Cigugur Girang,4,3217020710090069,Den@gmail.com,2015,085722741929,tidak,8,20000000,78000000,1,pasar
MITRA FAMILLY',MAMAN SURYAMAN,Sayuran,Kp. Sukamaju RT 01/05,Parongpong,Sukamaju,4,3217020710090070,MAM@gmail.com,2016,082115299579,ada,9,50000000,78000000,1,pasar
  TANI MULYA  ,AGAN RUHIYAT,Sayuran,Kp. Sariwangi Rt/Rw 04/09,Parongpong,Ciwaruga,4,3217020710090071,AGA@gmail.com,2018,081325573435,ada,4,81000000,273000000,1,pasar
FRESH SAYUR,SUPARMIN ,Sayuran ,Jln.Ciwaruga No.72 Rt 02/02,Parongpong,Cigugur Girang,4,3217020710090072,SUP@gmail.com,2018,087821345053,tidak,2,40000000,182000000,1,pasar
TANI MUKTI,DEDI SUNARDI,Sayuran,Jl.Waruga jaya,Parongpong,Ciwaruga,4,3217020710090073,DED@gmail.com,2018,08756462122,ada,4,50000000,254800000,1,pasar
HAFIZ VEGETABLES,ENGKUS ,Sayuran,Kp.Sukamaju RT 01/RW 05,Parongpong,Cigugur Girang,4,3217020710090074,ENG@gmail.com,2018,082262261899,ada,3,30000000,546000000,1,pasar
SEJAHTERA BERSAMA VEGETABLES,SODIKIN,Sayuran,Kp Ciwaruga RT 03/06 ,Parongpong,Ciwaruga,4,3217020710090075,SOD@gmail.com,2018,082214127021,ada,4,25000000,208000000,1,pasar
PETANI-PETERNAK,TETI SARTINI,Pertanian,Kp Ciwaruga RT 03/06,Parongpong,Cigugur Girang,4,3217020710090076,TET@gmail.com,2018,083195556768,ada,4,30000000,254000000,1,pasar
MANDIRI FARM,EULIS SETIA HERAWATI,Jamur Tiram,Kp Ciwaruga RT 03/06,Parongpong,Ciwaruga,4,3217020710090077,EUL@gmail.com,2018,02276585645,ada,4,35000000,78000000,1,pasar
 RIZKI SAYUR ,SELY GIOVANI PUTRI,Bunga,Kp Ciwaruga RT 03/06 ,Parongpong,Ciwaruga,4,3217020710090078,SEL@gmail.com,2018,,tidak,3,20000000,78000000,1,pasar
 PETANI,ADE  NURDIN      ,Sayuran,Kp Ciwaruga RT 01/06 ,Parongpong,Cigugur Girang,4,3217020710090079,ade@gmail.com,2018,087822275682,ada,5,35000000,390000000,1,pasar
TANI MULYA,EMI MULYANI,Bunga,Kp Ciwaruga,Parongpong,Cigugur Girang,4,3217020710090080,EMI@gmail.com,2015,(022) 6900656,tidak,3,35000000,227000000,1,pasar
 LIA SEMBAKO ,SUDARNA,Bunga Potong Hias,Kp Ciwaruga,Parongpong,Cigugur Girang,4,3217020710090081,SUD@gmail.com,2015,,ada,4,29000000,254800000,1,pasar
 TANI SAYURAN ( AJS ) ,UNDANG,Bunga potong,Kp Ciwaruga,Parongpong,Cihanjuang,4,3217020710090082,UND@gmail.com,2017,08812217140,tidak,5,35000000,546000000,1,pasar
 TANI  BERKAH ,YANTO,Tanaman Hias,Kp Ciwaruga,Parongpong,Cigugurgirang,4,3217020710090083,YAN@gmail.com,2015,,ada,6,21000000,208000000,1,pasar
JAGUNG JAYA,JAJANG PERMANA,Jamur Tiram,Kp Ciwaruga,Parongpong,Cigugur Girang,4,3217020710090084,JAJ@gmail.com,2018,08132209343,tidak,3,30000000,254000000,1,pasar
 BAROKAH TANI ,APEP IMAT,Alat Pupuk Dan Obat-obatan Pertanian,Kp Ciwaruga,Parongpong,Sariwangi,4,3217020710090085,APE@gmail.com,2016,081809927406,ada,4,22000000,78000000,1,pasar
BERKAH TANI,INGE LUSIANE,Bunga Hias,Kp Ciwaruga,Parongpong,Ciwaruga,4,3217020710090086,ING@gmail.com,2017,,tidak,5,20000000,78000000,1,pasar
PERTANIAN TARYAMAN,ENO,Sayuran ,Kp Ciwaruga ,Parongpong,Cigugur Girang,4,3217020710090087,ENO@gmail.com,2017,022-6900578,tidak,6,50000000,390000000,1,pasar
TANI ASEP,AHMAD JAELANI,Bunga,Kp Cigugur,Parongpong,Sukamaju,4,3217020710090088,AHM@gmail.com,2016,,tidak,6,81000000,227000000,1,pasar
 IBU  SRIE  ,SRI LESTARI,Sayur,Kp Cigugur,Parongpong,Ciwaruga,4,3217020710090089,SRI@gmail.com,2017,0817214009,tidak,8,40000000,254000000,1,pasar
 KIOS PA AGUS ,AGUS ROHIMAT,Sayuran,Kp Cigugur,Parongpong,Cigugur Girang,4,3217020710090090,AGU@gmail.com,2016,085295344932,ada,9,50000000,109000000,1,pasar
